"Title","Authors","Editors","YearPublished","URL","DateAdded","Access type","Pub ID"

"Calendar of Border Papers: Volume 1, 1560-95","","Bain, Joseph","1894","https://www.british-history.ac.uk/cal-border-papers/vol1","2007-07-18T00:00:00","Premium content, Premium page scans","347"
"Calendar of Border Papers: Volume 2, 1595-1603","","Bain, Joseph","1896","https://www.british-history.ac.uk/cal-border-papers/vol2","2007-07-18T00:00:00","Premium content, Premium page scans","348"
"Calendar of Close Rolls, Edward I: Volume 1, 1272-1279","","Lyte, H C Maxwell","1900","https://www.british-history.ac.uk/cal-close-rolls/edw1/vol1","2008-12-18T00:00:00","Premium content, Premium page scans","1073"
"Calendar of Close Rolls, Edward I: Volume 2, 1279-1288","","Lyte, H C Maxwell","1902","https://www.british-history.ac.uk/cal-close-rolls/edw1/vol2","2009-02-27T00:00:00","Premium content, Premium page scans","1074"
"Calendar of Close Rolls, Edward I: Volume 3, 1288-1296","","Lyte, H C Maxwell","1904","https://www.british-history.ac.uk/cal-close-rolls/edw1/vol3","2008-12-18T00:00:00","Premium content, Premium page scans","1075"
"Calendar of Close Rolls, Edward I: Volume 4, 1296-1302","","Lyte, H C Maxwell","1906","https://www.british-history.ac.uk/cal-close-rolls/edw1/vol4","2008-12-18T00:00:00","Premium content, Premium page scans","1076"
"Calendar of Close Rolls, Edward I: Volume 5, 1302-1307","","Lyte, H C Maxwell","1908","https://www.british-history.ac.uk/cal-close-rolls/edw1/vol5","2008-12-18T00:00:00","Premium content, Premium page scans","1077"
"Calendar of Close Rolls, Edward II: Volume 1, 1307-1313","","Lyte, H C Maxwell","1892","https://www.british-history.ac.uk/cal-close-rolls/edw2/vol1","2008-12-05T00:00:00","Premium content, Premium page scans","1078"
"Calendar of Close Rolls, Edward II: Volume 2, 1313-1318","","Lyte, H C Maxwell","1893","https://www.british-history.ac.uk/cal-close-rolls/edw2/vol2","2008-12-05T00:00:00","Premium content, Premium page scans","1079"
"Calendar of Close Rolls, Edward II: Volume 3, 1318-1323","","Lyte, H C Maxwell","1895","https://www.british-history.ac.uk/cal-close-rolls/edw2/vol3","2008-12-05T00:00:00","Premium content, Premium page scans","1080"
"Calendar of Close Rolls, Edward II: Volume 4, 1323-1327","","Lyte, H C Maxwell","1898","https://www.british-history.ac.uk/cal-close-rolls/edw2/vol4","2008-12-05T00:00:00","Premium content, Premium page scans","1081"
"Calendar of Close Rolls, Edward III: Volume 1, 1327-1330","","Lyte, H C Maxwell","1896","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol1","2008-11-28T00:00:00","Premium content, Premium page scans","1082"
"Calendar of Close Rolls, Edward III: Volume 10, 1354-1360","","Lyte, H C Maxwell","1908","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol10","2009-01-16T00:00:00","Premium content, Premium page scans","1091"
"Calendar of Close Rolls, Edward III: Volume 11, 1360-1364","","Lyte, H C Maxwell","1909","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol11","2009-01-16T00:00:00","Premium content, Premium page scans","1092"
"Calendar of Close Rolls, Edward III: Volume 12, 1364-1369","","Lyte, H C Maxwell","1910","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol12","2009-01-16T00:00:00","Premium content, Premium page scans","1093"
"Calendar of Close Rolls, Edward III: Volume 13, 1369-1374","","Lyte, H C Maxwell","1911","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol13","2009-01-16T00:00:00","Premium content, Premium page scans","1094"
"Calendar of Close Rolls, Edward III: Volume 14, 1374-1377","","Lyte, H C Maxwell","1913","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol14","2009-01-16T00:00:00","Premium content, Premium page scans","1095"
"Calendar of Close Rolls, Edward III: Volume 2, 1330-1333","","Lyte, H C Maxwell","1898","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol2","2008-11-28T00:00:00","Premium content, Premium page scans","1083"
"Calendar of Close Rolls, Edward III: Volume 3, 1333-1337","","Lyte, H C Maxwell","1898","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol3","2008-11-28T00:00:00","Premium content, Premium page scans","1084"
"Calendar of Close Rolls, Edward III: Volume 4, 1337-1339","","Lyte, H C Maxwell","1900","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol4","2008-11-28T00:00:00","Premium content, Premium page scans","1085"
"Calendar of Close Rolls, Edward III: Volume 5, 1339-1341","","Lyte, H C Maxwell","1901","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol5","2008-11-28T00:00:00","Premium content, Premium page scans","1086"
"Calendar of Close Rolls, Edward III: Volume 6, 1341-1343","","Lyte, H C Maxwell","1902","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol6","2008-11-28T00:00:00","Premium content, Premium page scans","1087"
"Calendar of Close Rolls, Edward III: Volume 7, 1343-1346","","Lyte, H C Maxwell","1904","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol7","2008-11-28T00:00:00","Premium content, Premium page scans","1088"
"Calendar of Close Rolls, Edward III: Volume 8, 1346-1349","","Lyte, H C Maxwell","1905","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol8","2008-11-28T00:00:00","Premium content, Premium page scans","1089"
"Calendar of Close Rolls, Edward III: Volume 9, 1349-1354","","Lyte, H C Maxwell","1906","https://www.british-history.ac.uk/cal-close-rolls/edw3/vol9","2008-12-18T00:00:00","Premium content, Premium page scans","1090"
"Calendar of Close Rolls, Edward IV, Edward V, Richard III 1476-1485","","Ledward, K H","1954","https://www.british-history.ac.uk/cal-close-rolls/edw4/1476-85","2009-02-27T00:00:00","Premium content, Premium page scans","1117"
"Calendar of Close Rolls, Edward IV: Volume 1, 1461-1468","","Bird, W H B;Ledward, K H","1949","https://www.british-history.ac.uk/cal-close-rolls/edw4/vol1","2009-02-27T00:00:00","Premium content, Premium page scans","1115"
"Calendar of Close Rolls, Edward IV: Volume 2, 1468-1476","","Bird, W H B;Ledward, K H","1953","https://www.british-history.ac.uk/cal-close-rolls/edw4/vol2","2009-02-27T00:00:00","Premium content, Premium page scans","1116"
"Calendar of Close Rolls, Henry III (Supplementary) 1244-1266","","Morton, Ann","1975","https://www.british-history.ac.uk/cal-close-rolls/hen3/supp/1244-66","2008-11-07T00:00:00","Premium content, Premium page scans","1072"
"Calendar of Close Rolls, Henry III: Volume 1, 1227-1231","","Lyte, H C Maxwell","1902","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol1","2008-11-07T00:00:00","Premium content, Premium page scans","1058"
"Calendar of Close Rolls, Henry III: Volume 10, 1256-1259","","Stamp, A E","1932","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol10","2008-10-31T00:00:00","Premium content, Premium page scans","1067"
"Calendar of Close Rolls, Henry III: Volume 11, 1259-1261","","Stamp, A E","1934","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol11","2008-10-31T00:00:00","Premium content, Premium page scans","1068"
"Calendar of Close Rolls, Henry III: Volume 12, 1261-1264","","Stamp, A E","1936","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol12","2008-10-31T00:00:00","Premium content, Premium page scans","1069"
"Calendar of Close Rolls, Henry III: Volume 13, 1264-1268","","Stamp, A E","1937","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol13","2008-10-31T00:00:00","Premium content, Premium page scans","1070"
"Calendar of Close Rolls, Henry III: Volume 14, 1268-1272","","Stamp, A E","1938","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol14","2008-10-31T00:00:00","Premium content, Premium page scans","1071"
"Calendar of Close Rolls, Henry III: Volume 2, 1231-1234","","Lyte, H C Maxwell","1905","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol2","2008-11-07T00:00:00","Premium content, Premium page scans","1059"
"Calendar of Close Rolls, Henry III: Volume 3, 1234-1237","","Lyte, H C Maxwell","1908","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol3","2008-10-23T00:00:00","Premium content, Premium page scans","1060"
"Calendar of Close Rolls, Henry III: Volume 4, 1237-1242","","Lyte, H C Maxwell","1911","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol4","2008-10-23T00:00:00","Premium content, Premium page scans","1061"
"Calendar of Close Rolls, Henry III: Volume 5, 1242-1247","","Lyte, H C Maxwell","1916","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol5","2008-10-23T00:00:00","Premium content, Premium page scans","1062"
"Calendar of Close Rolls, Henry III: Volume 6, 1247-1251","","Lyte, H C Maxwell","1922","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol6","2008-10-23T00:00:00","Premium content, Premium page scans","1063"
"Calendar of Close Rolls, Henry III: Volume 7, 1251-1253","","Stamp, A E","1927","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol7","2008-10-23T00:00:00","Premium content, Premium page scans","1064"
"Calendar of Close Rolls, Henry III: Volume 8, 1253-1254","","Stamp, A E","1929","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol8","2008-10-23T00:00:00","Premium content, Premium page scans","1065"
"Calendar of Close Rolls, Henry III: Volume 9, 1254-1256","","Stamp, A E","1931","https://www.british-history.ac.uk/cal-close-rolls/hen3/vol9","2008-10-31T00:00:00","Premium content, Premium page scans","1066"
"Calendar of Close Rolls, Henry IV: Volume 1, 1399-1402","","Stamp, A E","1927","https://www.british-history.ac.uk/cal-close-rolls/hen4/vol1","2009-01-30T00:00:00","Premium content, Premium page scans","1102"
"Calendar of Close Rolls, Henry IV: Volume 2, 1402-1405","","Stamp, A E","1929","https://www.british-history.ac.uk/cal-close-rolls/hen4/vol2","2009-01-30T00:00:00","Premium content, Premium page scans","1103"
"Calendar of Close Rolls, Henry IV: Volume 3, 1405-1409","","Stamp, A E","1931","https://www.british-history.ac.uk/cal-close-rolls/hen4/vol3","2009-01-30T00:00:00","Premium content, Premium page scans","1104"
"Calendar of Close Rolls, Henry IV: Volume 4, 1409-1413","","Stamp, A E","1932","https://www.british-history.ac.uk/cal-close-rolls/hen4/vol4","2009-01-30T00:00:00","Premium content, Premium page scans","1105"
"Calendar of Close Rolls, Henry V: Volume 1, 1413-1419","","Stamp, A E","1929","https://www.british-history.ac.uk/cal-close-rolls/hen5/vol1","2009-01-30T00:00:00","Premium content, Premium page scans","1107"
"Calendar of Close Rolls, Henry V: Volume 2, 1419-1422","","Stamp, A E","1932","https://www.british-history.ac.uk/cal-close-rolls/hen5/vol2","2009-01-30T00:00:00","Premium content, Premium page scans","1108"
"Calendar of Close Rolls, Henry VI: Volume 1, 1422-1429","","Stamp, A E","1933","https://www.british-history.ac.uk/cal-close-rolls/hen6/vol1","2009-02-06T00:00:00","Premium content, Premium page scans","1109"
"Calendar of Close Rolls, Henry VI: Volume 2, 1429-1435","","Stamp, A E","1933","https://www.british-history.ac.uk/cal-close-rolls/hen6/vol2","2009-02-06T00:00:00","Premium content, Premium page scans","1110"
"Calendar of Close Rolls, Henry VI: Volume 3, 1435-1441","","Stamp, A E","1937","https://www.british-history.ac.uk/cal-close-rolls/hen6/vol3","2009-02-06T00:00:00","Premium content, Premium page scans","1111"
"Calendar of Close Rolls, Henry VI: Volume 4, 1441-1447","","Stamp, A E","1937","https://www.british-history.ac.uk/cal-close-rolls/hen6/vol4","2009-02-06T00:00:00","Premium content, Premium page scans","1112"
"Calendar of Close Rolls, Henry VI: Volume 5, 1447-1454","","Flower, C T","1947","https://www.british-history.ac.uk/cal-close-rolls/hen6/vol5","2009-02-06T00:00:00","Premium content, Premium page scans","1113"
"Calendar of Close Rolls, Henry VI: Volume 6, 1454-1461","","Flower, C T","1947","https://www.british-history.ac.uk/cal-close-rolls/hen6/vol6","2009-02-06T00:00:00","Premium content, Premium page scans","1114"
"Calendar of Close Rolls, Henry VII: Volume 1, 1485-1500","","Ledward, K H","1955","https://www.british-history.ac.uk/cal-close-rolls/hen7/vol1","2009-02-13T00:00:00","Premium content, Premium page scans","1118"
"Calendar of Close Rolls, Henry VII: Volume 2, 1500-1509","","Latham, R A","1963","https://www.british-history.ac.uk/cal-close-rolls/hen7/vol2","2009-02-13T00:00:00","Premium content, Premium page scans","1119"
"Calendar of Close Rolls, Richard II: Volume 1, 1377-1381","","Lyte, H C Maxwell","1914","https://www.british-history.ac.uk/cal-close-rolls/ric2/vol1","2009-01-23T00:00:00","Premium content, Premium page scans","1096"
"Calendar of Close Rolls, Richard II: Volume 2, 1381-1385","","Lyte, H C Maxwell","1920","https://www.british-history.ac.uk/cal-close-rolls/ric2/vol2","2009-01-23T00:00:00","Premium content, Premium page scans","1097"
"Calendar of Close Rolls, Richard II: Volume 3, 1385-1389","","Lyte, H C Maxwell","1921","https://www.british-history.ac.uk/cal-close-rolls/ric2/vol3","2009-01-23T00:00:00","Premium content, Premium page scans","1098"
"Calendar of Close Rolls, Richard II: Volume 4, 1389-1392","","Lyte, H C Maxwell","1922","https://www.british-history.ac.uk/cal-close-rolls/ric2/vol4","2009-01-23T00:00:00","Premium content, Premium page scans","1099"
"Calendar of Close Rolls, Richard II: Volume 5, 1392-1396","","Lyte, H C Maxwell","1925","https://www.british-history.ac.uk/cal-close-rolls/ric2/vol5","2009-01-23T00:00:00","Premium content, Premium page scans","1100"
"Calendar of Close Rolls, Richard II: Volume 6, 1396-1399","","Stamp, A E","1927","https://www.british-history.ac.uk/cal-close-rolls/ric2/vol6","2009-01-23T00:00:00","Premium content, Premium page scans","1101"
"Calendar of Home Office Papers (George III): 1760-5","","Redington, Joseph","1878","https://www.british-history.ac.uk/home-office-geo3/1760-5","2008-02-08T00:00:00","Premium content, Premium page scans","717"
"Calendar of Home Office Papers (George III): 1766-9","","Redington, Joseph","1879","https://www.british-history.ac.uk/home-office-geo3/1766-9","2008-02-08T00:00:00","Premium content, Premium page scans","718"
"Calendar of Home Office Papers (George III): 1770-2","","Roberts, Richard Arthur","1881","https://www.british-history.ac.uk/home-office-geo3/1770-2","2008-02-15T00:00:00","Premium content, Premium page scans","719"
"Calendar of Home Office Papers (George III): 1773-5","","Roberts, Richard Arthur","1899","https://www.british-history.ac.uk/home-office-geo3/1773-5","2008-02-15T00:00:00","Premium content, Premium page scans","720"
"Calendar of Patent Rolls, Edward I: Volume 1, 1272-1281","","Lyte, H C Maxwell","1901","https://www.british-history.ac.uk/cal-pat-rolls/edw1/vol1","2018-02-20T00:00:00","Premium content, Premium page scans","1508"
"Calendar of Patent Rolls, Edward I: Volume 2, 1281-1292","","Lyte, H C Maxwell","1895","https://www.british-history.ac.uk/cal-pat-rolls/edw1/vol2","2018-02-20T00:00:00","Premium content, Premium page scans","1509"
"Calendar of Patent Rolls, Edward I: Volume 3, 1292-1301","","Lyte, H C Maxwell","1895","https://www.british-history.ac.uk/cal-pat-rolls/edw1/vol3","2018-04-04T00:00:00","Premium content, Premium page scans","1510"
"Calendar of Patent Rolls, Edward I: Volume 4, 1301-1307","","Lyte, H C Maxwell","1898","https://www.british-history.ac.uk/cal-pat-rolls/edw1/vol4","2018-04-04T00:00:00","Premium content, Premium page scans","1511"
"Calendar of Patent Rolls, Edward II: Volume 1, 1307-1313","","Lyte, H C Maxwell","1894","https://www.british-history.ac.uk/series/calendar-of-patent-rolls-edward-ii/vol1","2018-07-16T00:00:00","Premium content, Premium page scans","1513"
"Calendar of Patent Rolls, Edward II: Volume 2, 1313-1317","","Lyte, H C Maxwell","1898","https://www.british-history.ac.uk/series/calendar-of-patent-rolls-edward-ii/vol2","2018-07-23T00:00:00","Premium content, Premium page scans","1514"
"Calendar of Patent Rolls, Edward II: Volume 3, 1317-1321","","Lyte, H C Maxwell","1903","https://www.british-history.ac.uk/series/calendar-of-patent-rolls-edward-ii/vol3","2018-08-09T00:00:00","Premium content, Premium page scans","1515"
"Calendar of Patent Rolls, Edward II: Volume 4, 1321-1324","","Lyte, H C Maxwell","1904","https://www.british-history.ac.uk/series/calendar-of-patent-rolls-edward-ii/vol4","2018-09-07T00:00:00","Premium content, Premium page scans","1517"
"Calendar of Patent Rolls, Edward II: Volume 5, 1324-1327","","Lyte, H C Maxwell","1904","https://www.british-history.ac.uk/series/calendar-of-patent-rolls-edward-ii/vol5","2018-09-07T00:00:00","Premium content, Premium page scans","1518"
"Calendar of Patent Rolls, Edward III, Volume 3, 1334-1338","","","1895","https://www.british-history.ac.uk/series/calendar-of-patent-rolls-edward-iii/vol3","2020-08-21T00:00:00","Premium content, Premium page scans","1532"
"Calendar of Patent Rolls, Edward III, Volume 4, 1338-1340","","","1898","https://www.british-history.ac.uk/series/calendar-of-patent-rolls-edward-iii/vol4","2020-08-27T00:00:00","Premium content, Premium page scans","1533"
"Calendar of Patent Rolls, Edward III, Volume 5, 1340-1343","","","1900","https://www.british-history.ac.uk/series/calendar-of-patent-rolls-edward-iii/vol5","2020-09-04T00:00:00","Premium content, Premium page scans","1534"
"Calendar of Patent Rolls, Edward III: Volume 1, 1327-1330","","","1891","https://www.british-history.ac.uk/series/calendar-of-patent-rolls-edward-iii/vol1","2020-06-12T00:00:00","Premium content, Premium page scans","1529"
"Calendar of Patent Rolls, Edward III: Volume 2, 1330-1334","","","1893","https://www.british-history.ac.uk/series/calendar-of-patent-rolls-edward-iii/vol2","2020-07-21T00:00:00","Premium content, Premium page scans","1531"
"Calendar of Patent Rolls, Henry III: Volume 1, 1216-1225","","Lyte, H C Maxwell","1901","https://www.british-history.ac.uk/cal-pat-rolls/hen3/vol1","2017-07-24T00:00:00","Premium content, Premium page scans","1500"
"Calendar of Patent Rolls, Henry III: Volume 2, 1225-1232","","Lyte, H C Maxwell","1903","https://www.british-history.ac.uk/cal-pat-rolls/hen3/vol2","2017-07-24T00:00:00","Premium content, Premium page scans","1501"
"Calendar of Patent Rolls, Henry III: Volume 3, 1232-1247","","The Deputy Keeper of the Records","1906","https://www.british-history.ac.uk/cal-pat-rolls/hen3/vol3","2017-08-02T00:00:00","Premium content, Premium page scans","1502"
"Calendar of Patent Rolls, Henry III: Volume 4, 1247-1258","","Lyte, H C Maxwell","1908","https://www.british-history.ac.uk/cal-pat-rolls/hen3/vol4","2017-08-02T00:00:00","Premium content, Premium page scans","1503"
"Calendar of Patent Rolls, Henry III: Volume 5, 1258-1266","","Lyte, H C Maxwell","1910","https://www.british-history.ac.uk/cal-pat-rolls/hen3/vol5","2017-12-04T00:00:00","Premium content, Premium page scans","1505"
"Calendar of Patent Rolls, Henry III: Volume 6, 1266-1272","","Lyte, H C Maxwell","1913","https://www.british-history.ac.uk/cal-pat-rolls/hen3/vol6","2017-12-07T00:00:00","Premium content, Premium page scans","1506"
"Calendar of State Papers Domestic: Anne, 1702-3","","Mahaffy, R P","1916","https://www.british-history.ac.uk/cal-state-papers/domestic/anne/1702-3","2007-09-27T00:00:00","Premium content, Premium page scans","698"
"Calendar of State Papers Domestic: Anne, 1703-4","","Mahaffy, R P","1924","https://www.british-history.ac.uk/cal-state-papers/domestic/anne/1703-4","2007-09-27T00:00:00","Premium content, Premium page scans","699"
"Calendar of State Papers Domestic: Charles I, 1625-26","","Bruce, John","1858","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1625-6","2007-07-18T00:00:00","Premium content, Premium page scans","472"
"Calendar of State Papers Domestic: Charles I, 1625-49 Addenda","","Hamilton, William Douglas;Lomas, Sophie Crawford","1897","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/addenda/1625-49","2007-07-18T00:00:00","Premium content, Premium page scans","644"
"Calendar of State Papers Domestic: Charles I, 1627-28","","Bruce, John","1858","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1627-8","2007-07-18T00:00:00","Premium content, Premium page scans","473"
"Calendar of State Papers Domestic: Charles I, 1628-29","","Bruce, John","1859","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1628-9","2007-07-18T00:00:00","Premium content, Premium page scans","474"
"Calendar of State Papers Domestic: Charles I, 1629-31","","Bruce, John","1860","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1629-31","2007-07-18T00:00:00","Premium content, Premium page scans","475"
"Calendar of State Papers Domestic: Charles I, 1631-3","","Bruce, John","1862","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1631-3","2007-07-18T00:00:00","Premium content, Premium page scans","476"
"Calendar of State Papers Domestic: Charles I, 1633-4","","Bruce, John","1863","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1633-4","2007-07-18T00:00:00","Premium content, Premium page scans","477"
"Calendar of State Papers Domestic: Charles I, 1634-5","","Bruce, John","1864","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1634-5","2007-07-18T00:00:00","Premium content, Premium page scans","478"
"Calendar of State Papers Domestic: Charles I, 1635-6","","Bruce, John","1866","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1635-6","2007-07-18T00:00:00","Premium content, Premium page scans","492"
"Calendar of State Papers Domestic: Charles I, 1635","","Bruce, John","1865","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1635","2007-07-18T00:00:00","Premium content, Premium page scans","491"
"Calendar of State Papers Domestic: Charles I, 1636-7","","Bruce, John","1867","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1636-7","2007-07-18T00:00:00","Premium content, Premium page scans","493"
"Calendar of State Papers Domestic: Charles I, 1637-8","","Bruce, John","1869","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1637-8","2007-07-18T00:00:00","Premium content, Premium page scans","495"
"Calendar of State Papers Domestic: Charles I, 1637","","Bruce, John","1868","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1637","2007-07-18T00:00:00","Premium content, Premium page scans","494"
"Calendar of State Papers Domestic: Charles I, 1638-9","","Bruce, John;Hamilton, William Douglas","1871","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1638-9","2007-07-18T00:00:00","Premium content, Premium page scans","496"
"Calendar of State Papers Domestic: Charles I, 1639-40","","Hamilton, Wiliam Douglas","1877","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1639-40","2007-07-18T00:00:00","Premium content, Premium page scans","498"
"Calendar of State Papers Domestic: Charles I, 1639","","Hamilton, William Douglas","1873","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1639","2007-07-18T00:00:00","Premium content, Premium page scans","497"
"Calendar of State Papers Domestic: Charles I, 1640-1","","Hamilton, William Douglas","1882","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1640-1","2007-07-18T00:00:00","Premium content, Premium page scans","500"
"Calendar of State Papers Domestic: Charles I, 1640","","Hamilton, William Douglas","1880","https://www.british-history.ac.uk/cal-state-papers/domestic/chas1/1640","2007-07-18T00:00:00","Premium content, Premium page scans","499"
